Video name,DATE,Played Time,Played Num,OSX Desktop,IOS,Linux Desktop,Window Desktop,Android,Bot,
20190115_sick_v2_480p.mp4,2019-01-15,216655,3582,89,424,15,2208,843,2,
20190115_Tseng_mou_480p.mp4,2019-01-15,227680,3243,58,341,3,1740,1099,2,
3manlive_ep60_480p.mp4,2019-01-15,307300,2194,73,226,7,1159,724,5,
3manlive_ep55_480p.mp4,2019-01-15,306100,2188,54,185,1,1283,663,2,
20190114_ENT_wong_480p.mp4,2019-01-15,32125,2035,63,120,11,1453,384,0,
20190115_WN_Taxi_480p.mp4,2019-01-15,106520,761,0,470,0,16,267,7,
20190114_ENT_tai_480p.mp4,2019-01-15,12390,749,60,95,6,356,226,6,
20190114_ENT_koo_480p.mp4,2019-01-15,34530,727,1,77,0,550,95,4,
20190114_Fin_TigerThermalBottle_480p.mp4,2019-01-15,12305,613,30,155,9,160,258,1,
3manLive_EP49_480p.mp4,2019-01-15,40445,344,20,46,0,90,187,1,
20190114_ChloeMaayan_480p.mp4,2019-01-15,3820,292,4,153,0,25,110,0,
3manLive_EP52_480p.mp4,2019-01-15,30195,271,0,61,0,23,181,4,
20190113_Ent_Ng_480p.mp4,2019-01-15,4975,248,0,45,9,82,111,1,
20190113_Ent_HSboys_480p.mp4,2019-01-15,5920,240,2,59,0,49,129,1,
20190114_WN_Tunnel_480p.mp4,2019-01-15,16760,199,0,95,0,43,61,0,
20190111_TGIF_Hotpot_480p.mp4,2019-01-15,1715,185,27,27,1,80,49,1,
20170119_IT_earphone_480p.mp4,2019-01-15,2665,154,0,62,0,4,81,2,
20190108_Tseng_kei_v2_480p.mp4,2019-01-15,7405,150,2,24,0,10,109,5,
3manlive_ep54_480p.mp4,2019-01-15,18485,132,0,16,0,60,55,1,
20190111_showbiz_tin_480p.mp4,2019-01-15,935,99,0,16,0,28,54,1,
20190101_Tseng_dan_v4_480p.mp4,2019-01-15,4480,81,2,23,0,13,43,0,
20190112_Ent_chan_480p.mp4,2019-01-15,1910,65,1,18,0,23,22,1,
20190113_Ent_MyolieWu_480p.mp4,2019-01-15,1290,60,0,21,0,20,13,6,
20190103_whatnews_720p.mp4,2019-01-15,1840,48,1,19,0,14,14,0,
20181225_Tsang_koi_480p.mp4,2019-01-15,3005,44,11,7,0,3,23,0,
3manLive_EP47_480p.mp4,2019-01-15,7440,41,0,6,0,23,12,0,
20170425_health_ball_480p.mp4,2019-01-15,610,35,0,3,0,3,29,0,
20190112_Ent_hung_480p.mp4,2019-01-15,1300,33,0,4,0,13,15,1,
20190108_oldShop_Tailer_v4_480p.mp4,2019-01-15,685,32,0,7,0,13,10,2,
20181227_C_fund_480p.mp4,2019-01-15,965,28,0,3,0,3,22,0,
20190113_WN_Kitchen_480p.mp4,2019-01-15,3280,27,0,17,0,7,3,0,
20180304_daily_shoes_480p.mp4,2019-01-15,140,26,3,4,0,4,15,0,
3manLive_EP3_480p.mp4,2019-01-15,1210,24,0,0,0,24,0,0,
ZOIE_480p.mp4,2019-01-15,1010,24,1,8,0,3,12,0,
20190101_Health_aspirin_480p.mp4,2019-01-15,415,22,0,3,0,2,17,0,
3manLive_EP51_480p.mp4,2019-01-15,2340,22,14,7,0,0,0,1,
20190110_ENT_amy_480p.mp4,2019-01-15,690,19,0,4,0,7,7,1,
20181204_health_vegetable_480p.mp4,2019-01-15,130,18,0,7,0,0,11,0,
20180124_minCook_Mussels_480p.mp4,2019-01-15,310,17,0,17,0,0,0,0,
20170822_Tseng_gam_480p.mp4,2019-01-15,330,17,1,3,0,4,9,0,
3manlive_ep42_480p.mp4,2019-01-15,80,16,2,0,0,6,8,0,
20190110_ENT_lam_480p.mp4,2019-01-15,420,15,0,3,0,7,4,1,
20181106_health_480p.mp4,2019-01-15,115,14,0,0,0,0,14,0,
20190110_ENT_film_480p.mp4,2019-01-15,255,14,0,2,0,11,0,1,
20180522_tseng_chi_v2_480p.mp4,2019-01-15,345,14,0,0,0,0,14,0,
20180911_Tseng_jing_480p.mp4,2019-01-15,465,13,0,0,0,2,11,0,
20190112_Ent_seungri_480p.mp4,2019-01-15,900,13,0,2,0,7,3,1,
20190109_WN_PhilippinesDrug_480p.mp4,2019-01-15,1570,13,0,9,0,0,4,0,
20190109_ENT_koo_480p.mp4,2019-01-15,240,12,0,2,0,4,5,1,
20171120_Econ_police_480p.mp4,2019-01-15,150,12,1,7,0,0,4,0,
20180515_Tsang_Bin_480p.mp4,2019-01-15,105,12,0,0,0,1,11,0,
3manLive_EP45_480p.mp4,2019-01-15,1655,12,0,4,0,0,8,0,
20190103_eat_pie_v2_480p.mp4,2019-01-15,455,11,0,0,0,1,10,0,
20181127_Tsang_Zik_480p.mp4,2019-01-15,560,11,1,1,0,1,8,0,
20181113_Tsang_Zou_480p.mp4,2019-01-15,135,10,0,0,0,1,9,0,
20180906_Peggy_DirtyLanguage_480p.mp4,2019-01-15,415,10,2,1,0,0,7,0,
20180530_TGIF_JWmarriott_480p.mp4,2019-01-15,0,10,0,0,0,10,0,0,
20190108_WN_NorikoSakai_480p.mp4,2019-01-15,690,9,0,2,0,3,4,0,
20181225_Ent_SiuSouth_480p.mp4,2019-01-15,355,9,0,0,0,2,7,0,
20171031_Health_Pregnant_480p.mp4,2019-01-15,35,9,0,5,0,0,4,0,
20190108_news_480p.mp4,2019-01-15,35,9,0,0,0,2,0,7,
20170320_daily_Rubbish_480p.mp4,2019-01-15,130,9,0,0,0,0,9,0,
20171221_IT_Casio_480p.mp4,2019-01-15,65,9,0,0,0,0,9,0,
20181218_ToyAwardsSlideshow_wMameshareLogo_R1_480p.mp4,2019-01-15,100,9,0,1,0,2,6,0,
20190107_3ManLive_Ep53_XiJinping_480p.mp4,2019-01-15,1995,9,0,6,0,2,1,0,
3manLive_EP48_480p.mp4,2019-01-15,2785,8,0,6,0,2,0,0,
20181229_Ent_Arron_480p.mp4,2019-01-15,90,8,0,1,0,3,4,0,
20170309_NetDaily_KoreanLadyHD_480p.mp4,2019-01-15,75,8,0,0,0,0,8,0,
20170511_Peggy_EP4_480p.mp4,2019-01-15,285,8,0,8,0,0,0,0,
20180307_health_sleep_480p.mp4,2019-01-15,70,8,0,0,0,0,7,1,
20170926_Netdaily_Soldier_480p.mp4,2019-01-15,330,8,0,2,0,0,6,0,
20180814_health_fit_480p.mp4,2019-01-15,85,8,0,0,0,0,8,0,
20190108_ENT_wong_480p.mp4,2019-01-15,315,8,0,6,0,0,0,2,
20181228_showbiz_DiorCheng_480p.mp4,2019-01-15,590,7,0,0,0,3,4,0,
20181211_Tseng_bik_v2_480p.mp4,2019-01-15,810,7,1,4,0,2,0,0,
20170613_health_PoYin_480p.mp4,2019-01-15,225,7,0,0,0,0,7,0,
20170518_peggy_papipupepo_2_480p.mp4,2019-01-15,450,7,0,7,0,0,0,0,
